X,FilingDate,TradeDate,Ticker,CompanyName,InsiderName,Title,TradeType,Price,Qty,Owned,DeltaOwn,Value,1d,1w,1m,6m
,2021-06-11 18:00:00,2021-06-11 00:00:00,IBP,"Installed Building Products, Inc.",Thomas Michael H,Dir,S - Sale,$116.85 ,"-2,100","10,093",-17%,"($245,378)",,,,
,2021-06-11 19:21:00,2021-06-11 00:00:00,DXC,Dxc Technology Co,Fernandez Raul J,Dir,P - Purchase,$41.20 ,"1,820","31,305",6%,"$74,975 ",,,,
,2021-06-11 16:50:00,2021-06-11 00:00:00,REVG,"Rev Group, Inc.",Boettinger Stephen W.,GC,P - Purchase,$15.64 ,"1,500","121,560",1%,"$23,460 ",,,,
,2021-06-11 19:43:00,2021-06-11 00:00:00,AMST,Amesite Inc.,Sastry Ann Marie,CEO,P - Purchase,$3.73 ,"15,000","6,241,667",0%,"$55,950 ",,,,
,2021-06-11 19:47:00,2021-06-11 00:00:00,TLYS,"Tilly'S, Inc.",Zeichner Bernard,Dir,S - Sale,$16.24 ,"-5,000","46,894",-10%,"($81,200)",,,,
,2021-06-11 16:42:00,2021-06-11 00:00:00,REVG,"Rev Group, Inc.",Rushing Rodney M,CEO,P - Purchase,$15.87 ,"19,292","968,287",2%,"$306,164 ",,,,
,2021-06-11 20:19:00,2021-06-11 00:00:00,EVFM,"Evofem Biosciences, Inc.",Barrans Russell,Chief Commercial Officer,P - Purchase,$1.14 ,"18,180","468,831",4%,"$20,725 ",,,,
,2021-06-11 16:39:00,2021-06-11 00:00:00,REVG,"Rev Group, Inc.",Daniels Christopher M,CHRO,P - Purchase,$15.79 ,"3,200","135,320",2%,"$50,528 ",,,,
,2021-06-11 17:07:00,2021-06-11 00:00:00,REVG,"Rev Group, Inc.",Skonieczny Jr. Mark A,CFO,P - Purchase,$15.90 ,"7,000","198,108",4%,"$111,300 ",,,,
,2021-06-11 17:11:00,2021-06-11 00:00:00,BWXT,"Bwx Technologies, Inc.",Geveden Rex D,"Pres, CEO",S - Sale,$64.11 ,"-5,000","111,727",-4%,"($320,550)",,,,
D,2021-06-11 20:39:00,2021-06-11 00:00:00,PCRX,"Pacira Biosciences, Inc.",Riker Lauren Bullaro,"VP, Finance",S - Sale+OE,$59.85 ,"-2,003","12,731",-14%,"($119,880)",,,,
,2021-06-11 20:49:00,2021-06-11 00:00:00,MGRC,McGrath Rentcorp,Lieffrig John,"VP, Division Manager",S - Sale,$84.40 ,"-1,700","10,332",-14%,"($143,485)",,,,
,2021-06-11 17:23:00,2021-06-11 00:00:00,RNG,"Ringcentral, Inc.",Shah Praful,Chief Strategy Officer,S - Sale,$266.63 ,-157,"297,834",0%,"($41,861)",,,,
D,2021-06-11 17:29:00,2021-06-11 00:00:00,QSR,Restaurant Brands International Inc.,Friesner Jacqueline,See Remarks,S - Sale+OE,$67.78 ,"-46,005","109,065",-30%,"($3,118,219)",,,,
,2021-06-11 21:09:00,2021-06-11 00:00:00,DKNG,Draftkings Inc.,Kalish Matthew,See Remarks,S - Sale,$53.68 ,"-57,692","2,318,261",-2%,"($3,097,092)",,,,
,2021-06-11 21:08:00,2021-06-11 00:00:00,DKNG,Draftkings Inc.,Dodge R Stanton,GC,S - Sale,$53.69 ,"-50,588","194,906",-21%,"($2,715,870)",,,,
D,2021-06-11 17:39:00,2021-06-11 00:00:00,ETTX,Entasis Therapeutics Holdings Inc.,"Innoviva, Inc.",10%,P - Purchase,$2.00 ,"6,268,975","28,672,897",28%,"$12,537,950 ",,,,
,2021-06-11 09:39:00,2021-06-11 00:00:00,OBTX,"Everything Blockchain, Inc.",Hawkins Michael W,CFO,P - Purchase,$3.49 ,"35,000","35,000",New,"$122,150 ",,,,
,2021-06-11 10:29:00,2021-06-11 00:00:00,CCNE,Cnb Financial Corp/pa,Scott Nicholas N. Jr.,Dir,P - Purchase,$24.33 ,55,"21,131",0%,"$1,344 ",,,,
,2021-06-11 10:37:00,2021-06-11 00:00:00,CCNE,Cnb Financial Corp/pa,Young Julie M.,Dir,P - Purchase,$24.33 ,37,"2,698",1%,$896 ,,,,
,2021-06-11 11:34:00,2021-06-11 00:00:00,ASRV,Ameriserv Financial Inc /pa/,Stopko Jeffrey A,"Pres, CEO ASRV, Bank",P - Purchase,$4.04 ,"1,000","84,005",1%,"$4,040 ",,,,
,2021-06-11 14:36:00,2021-06-11 00:00:00,UHAL,Amerco /nv/,De Respino Laurence J,GC,S - Sale,$558.73 ,-75,727,-9%,"($41,905)",,,,
,2021-06-11 16:01:00,2021-06-11 00:00:00,PFBX,Peoples Financial Corp /ms/,Dennis Padrick D,Dir,P - Purchase,$16.35 ,"1,000","3,500",40%,"$16,350 ",,,,
,2021-06-10 10:24:00,2021-06-10 00:00:00,ATLO,Ames National Corp,Hagan Patrick G,Dir,P - Purchase,$25.35 ,200,"3,786",6%,"$5,070 ",,,,
D,2021-06-10 15:48:00,2021-06-10 00:00:00,BXP,Boston Properties Inc,Burt Frank D,"SVP, CLO, Secretary",S - Sale+OE,$122.93 ,"-2,000",0,-100%,"($245,860)",,,,
,2021-06-10 16:09:00,2021-06-10 00:00:00,MDRR,"Medalist Diversified Reit, Inc.","Ault Global Holdings, Inc.",10%,S - Sale,$1.84 ,"-1,480,000",0,-100%,"($2,723,200)",,,,
,2021-06-10 16:15:00,2021-06-10 00:00:00,CHMG,Chemung Financial Corp,Dalrymple Robert H,Dir,S - Sale,$44.63 ,"-4,300","246,229",-2%,"($191,909)",,,,
,2021-06-10 16:15:00,2021-06-10 00:00:00,CSV,Carriage Services Inc,Metzger Steven D,Chief Administration Officer,P - Purchase,$38.19 ,"1,000","6,021",20%,"$38,190 ",,,,
,2021-06-10 16:28:00,2021-06-10 00:00:00,CYTK,Cytokinetics Inc,Malik Fady Ibraham,"EVP Research, Development",S - Sale,$21.48 ,"-2,000","158,878",-1%,"($42,952)",,,,
,2021-06-10 16:57:00,2021-06-10 00:00:00,VKTX,"Viking Therapeutics, Inc.",Foehr Matthew W,Dir,P - Purchase,$5.69 ,"20,000","66,250",43%,"$113,800 ",,,,
,2021-06-10 17:18:00,2021-06-10 00:00:00,HL,Hecla Mining Co/de/,Ralbovsky Stephen F,Dir,S - Sale,$8.98 ,"-11,150","6,123",-65%,"($100,127)",,,,
,2021-06-10 17:44:00,2021-06-10 00:00:00,MANT,Mantech International Corp,Bush Mary K,Dir,S - Sale,$87.37 ,"-2,875","11,275",-20%,"($251,189)",,,,
D,2021-06-10 18:03:00,2021-06-10 00:00:00,LBRT,Liberty Oilfield Services Inc.,"Riverstone/Carlyle Energy Partners Iv, L.P.",Dir,S - Sale+OE,$15.20 ,"-12,299,996",0,-100%,"($186,959,939)",,,,
,2021-06-10 18:46:00,2021-06-10 00:00:00,ZS,"Zscaler, Inc.",Schlossman Robert,GC,S - Sale,$200.08 ,"-2,156","140,128",-2%,"($431,370)",,,,
